url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
30,10,12,0,1,1,0,4,0,0,0,0,0,2,0.06666666666666667,1,0,0,2,0,0,4.081727678869736,0,0
52,22,22,0,3,1,0,5,0,0,0,0,0,0,0.0,1,0,2,2,0,0,4.359120372720814,1,1
75,51,11,0,5,2,0,3,0,0,0,0,0,13,0.17333333333333334,0,0,3,1,1,0,4.692040277613463,0,0
87,19,60,0,2,6,0,6,0,0,0,0,0,3,0.034482758620689655,1,0,1,3,0,0,4.724584738104948,0,0
28,19,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.869331261111518,0,1
19,10,1,0,1,0,0,3,0,0,0,0,0,0,0.0,1,0,0,0,0,0,3.5368867237421666,0,1
25,16,1,0,1,0,0,3,0,0,0,0,0,0,0.0,1,0,0,0,0,0,3.643074189428569,0,1
92,19,65,0,1,1,0,4,0,0,0,0,0,11,0.11956521739130435,1,0,0,2,1,0,4.959285836510981,0,1
23,14,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.2946635862096048,0,1
41,19,14,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.9579403464411533,0,0
44,11,1,23,3,0,0,3,0,1,1,0,0,0,0.0,1,0,0,0,0,0,4.311037868342278,0,0
43,17,19,0,3,0,0,4,0,0,0,0,0,3,0.06976744186046512,0,0,1,2,0,0,4.164295859202321,1,1
60,36,16,0,3,2,0,5,0,0,0,0,0,5,0.08333333333333333,1,0,1,3,1,0,4.2142576393333355,1,1
37,17,1,10,2,0,0,3,0,1,1,0,0,0,0.0,1,0,1,0,0,0,4.222174311224064,0,0
82,12,62,0,2,4,0,6,0,0,0,0,0,3,0.036585365853658534,1,0,1,4,0,0,4.418919237414084,0,0
42,23,11,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.977414518844938,0,0
29,14,7,0,1,1,0,3,0,0,0,0,0,0,0.0,1,0,0,1,1,0,3.9093680639438855,0,1
50,9,33,0,6,1,0,4,0,0,0,0,0,4,0.08,1,0,0,2,0,0,4.201076880026371,0,0
84,24,52,0,3,1,1,5,0,0,0,0,0,15,0.17857142857142858,1,0,1,3,1,0,5.0338277330352525,0,0
